,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,Two Or More Races,Husband Wife Family Households,Single Guardian,Singles,Singles With Roommate,Households Without Kids,Households With Kids,Worked Full-time With Earnings,Worked Part-time With Earnings,No Earnings,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year
0,40658,14432,64844,32279,416,1355,163,3238,3132,15504,4982,12502,4178,22241,2913,27918,2766,37984,3987,3317,346,7909,4526,752,650,24866,12851,2997,2284,465,692,66,13735,648,849,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,2016
1,34910,15653,24295,32759,627,2282,43,159,13002,17551,4988,7817,3936,9042,2626,16978,2911,14096,7196,5300,757,181,5188,116,646,12778,21197,3542,1860,514,896,195,13143,526,3657,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,2016
2,28447,14231,45654,16658,84,1217,54,1249,13023,17397,8746,5185,1724,17068,4345,22309,2887,26953,7557,6943,3833,7594,5478,399,159,21804,32249,182,4529,3801,353,361,21361,548,2645,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2016
3,41251,16443,58132,10570,41,2305,120,3761,3861,14524,8983,7009,4257,13962,1542,18302,2484,18268,4840,6545,2185,6165,2528,549,315,22780,27826,3277,1455,1099,924,438,21176,391,2504,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,2016
4,57631,11340,33243,23496,484,202,8,4298,10744,11014,3732,6404,3045,15170,1065,18219,6142,31725,4438,5595,4311,4203,5577,657,826,16296,14026,4326,4594,7959,771,94,19982,634,1521,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,2016
5,54400,12317,43868,30999,687,1592,77,4,13263,10186,3269,9159,5986,17442,1695,14543,5688,20895,3853,7460,3414,8497,2456,416,323,6877,30068,2733,4046,6656,202,454,8310,482,946,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,2018
6,32174,7725,57217,25915,363,824,189,807,10431,13558,7586,7137,2879,15260,4391,34819,4535,24089,3716,6448,3570,7714,1175,675,128,15749,12856,1547,3813,4882,168,88,9221,711,2605,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2018
7,17987,15250,47436,8478,619,2309,21,77,4645,7272,2763,10375,2082,11257,3204,35108,6022,26002,6363,6850,134,6237,4259,388,550,21639,8853,1835,2674,6389,561,249,6274,415,3175,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,2015
8,14594,11434,18249,28487,635,2174,149,475,2310,16910,8873,10400,4427,21997,3195,32224,4004,20639,4884,4959,1646,1222,1370,542,75,13413,28348,4160,4165,4671,444,366,4447,781,3272,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,2015
9,37939,16829,32675,14010,23,2477,169,4925,12694,13727,7934,12791,3693,20757,3138,27837,7785,28613,7610,4591,3681,3760,386,480,706,4143,27351,3667,3261,307,141,480,10689,314,1836,0,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,2015
10,51677,15524,36382,7272,247,743,169,4474,8438,13304,3940,7947,5806,22155,3356,32598,3735,29475,6405,8422,792,2872,2377,665,953,25574,14158,4643,3528,2090,953,486,12232,726,597,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,2016
