,population_density,median_household_income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year,population
0,38375,51443,28160,14740,55973,26732,271,1910,136,3786,6870,7222,3809,3627,3740,484,384,8744,22496,2231,1237,906,385,3385,628,676,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,42900
1,54092,37948,49562,15573,50167,32596,516,847,19,17,3528,4269,1250,4040,4546,150,863,25011,29593,1451,9152,643,431,5336,166,1322,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,65135
2,19886,45128,38114,8985,34677,10138,653,506,167,417,6653,7285,1742,6268,966,223,471,5920,15321,828,5845,430,407,1579,290,3387,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,47099
3,89233,37416,40852,5979,40001,34153,350,1406,22,1665,5373,7169,3230,6785,2802,726,143,18139,15134,3122,6163,419,238,1625,582,3256,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,46831
4,71779,49921,54241,14746,57354,11604,633,1301,45,616,8602,8194,2381,4505,3936,236,901,3810,32247,1430,5959,514,149,2509,768,589,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,68987
5,43610,56309,16015,10048,43262,31990,200,2048,49,2118,3878,7793,3087,3945,2059,745,658,17896,32390,1751,6900,879,231,4319,545,1623,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,26063
6,30522,68971,56168,6046,37850,22389,608,423,97,2856,6293,4168,4023,4871,574,168,571,18579,19534,2501,3281,90,418,2472,172,2129,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,62214
7,88262,59521,57924,14570,24197,9115,70,1095,99,1601,8226,4756,2554,1539,4013,297,542,6950,29975,3816,988,831,146,3860,393,1307,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,72494
8,84535,59473,58246,15150,38485,25946,157,1969,51,1454,5028,6699,3883,7808,2857,340,167,7555,26596,3322,5262,453,444,3729,588,2789,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2014,73396
9,76122,48767,57449,14871,50556,33705,372,2065,189,3691,7889,6111,2248,3603,1988,190,47,15872,17640,981,5058,739,356,2457,604,1337,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,72320
