zipcode,Number of Returns,Number of Exemptions,NUMDEP,ELDERLY,Salaries and wages amount
0,147025790,284407960,93313960,34562930,7101762895
1001,8980,15160,3910,2640,384841
1002,9490,16220,4130,3120,463995
1003,170,110,0,0,2261
1005,2370,4400,1240,640,107576
1007,7580,14240,4090,2020,423686
1008,660,1210,280,210,32086
1009,650,1080,270,170,23869
1010,1880,3530,950,560,99346
1011,650,1140,270,180,27090
1012,350,610,140,120,14425
1013,10550,18710,6000,2230,350157
1020,15170,25690,6800,4090,565848
1022,1150,1730,330,480,35981
1026,490,870,200,190,16566
1027,9840,16300,3570,2810,414108
1028,8250,15630,4570,2520,505373
1029,320,540,90,120,14983
1030,6000,10910,3060,1700,292920
1031,500,960,300,120,18289
1032,260,480,100,100,10976
1033,3230,5770,1480,930,161467
1034,1040,1820,440,310,51989
1035,2780,4670,1070,930,131682
1036,2680,4830,1220,920,146807
1037,390,710,170,140,20801
1038,1300,2200,490,500,61714
1039,780,1300,290,280,34968
1040,16540,29360,10040,3330,546052
1050,1290,2300,590,350,56062
1053,880,1480,320,340,37006
1054,960,1740,410,410,44670
1056,10400,18160,4690,3000,471361
1057,4220,7480,1890,1220,202671
1060,7360,11060,2180,2010,352751
1062,5690,10080,2630,1940,278048
1066,200,320,60,80,7806
1068,970,1810,480,270,50435
1069,4100,7050,1770,1020,181370
1070,310,520,90,120,9657
1071,800,1460,420,220,35543
1072,760,1360,350,250,34772
1073,3280,6080,1600,1040,184720
1074,270,510,170,40,8533
1075,8570,14560,3430,2830,418682
1077,4990,8840,2250,1480,271228
1079,420,710,180,120,14311
1080,1180,1970,550,280,39495
1081,880,1550,430,230,36404
1082,5010,8830,2380,1340,197591
1083,1450,2650,760,340,60961
1085,18950,34230,9570,5040,872516
1086,320,520,120,130,12845
1088,330,500,100,110,13041
1089,13980,25400,7520,3500,583007
1092,570,1070,330,140,23518
1093,400,680,140,150,17856
1094,150,290,80,40,6867
1095,7290,13860,4030,2390,473672
1096,1280,2300,530,470,58060
1098,620,1080,210,280,24532
1103,1070,1590,460,160,31161
1104,10230,19150,7550,1650,301920
1105,4030,7860,3570,320,83613
1106,7590,15430,4940,2590,695978
1107,3970,8180,3740,400,108856
1108,11520,22000,8870,1690,346655
1109,11580,21720,8960,1950,304756
1118,7270,12760,3890,1820,288490
1119,5960,10620,3540,1380,207024
1128,1440,2490,590,430,63356
1129,3740,6450,1810,1010,143838
1151,3960,7440,2960,580,114859
1201,22270,37510,10170,6210,850039
1220,4280,7170,1810,1260,145728
1222,440,740,180,120,13869
1223,1150,2010,460,370,47098
1225,1690,2960,710,540,72768
1226,3300,5750,1570,1040,147954
1230,3760,6180,1400,1440,139217
1235,1470,2540,600,450,64836
1236,860,1460,360,290,30821
1237,1550,2690,650,490,66934
1238,3060,5070,1150,1010,120671
1240,2510,4060,850,1150,115325
1242,300,470,100,100,10321
1243,140,210,30,60,5788
1244,170,310,70,60,6253
1245,400,660,130,170,14058
1247,6750,11510,3010,1870,216845
1253,460,740,130,170,17521
1254,600,1030,200,280,31623
1255,330,600,150,110,11563
1256,370,610,130,110,14667
1257,1240,2070,470,470,43845
1258,380,600,90,190,12197
1259,260,430,90,100,7956
1260,150,240,50,50,4627
1262,780,1200,200,390,35418
1264,100,180,30,50,3171
1266,740,1270,280,330,29570
1267,2910,5230,1300,1150,159065
1270,390,700,150,130,18354
1301,8310,13980,3420,2540,291687
1330,750,1310,300,300,29220
1331,6240,11280,3220,1550,235003
1337,1350,2420,540,480,58442
1338,140,230,50,40,5011
1339,730,1280,300,270,22810
1340,870,1600,410,300,30520
1341,830,1510,350,350,39261
1342,700,1290,350,220,35049
1344,780,1410,380,200,29629
1346,180,340,90,60,5436
1349,400,720,210,110,14931
1351,1290,2100,420,430,51754
1354,810,1460,340,260,33628
1355,470,860,220,160,20199
1360,1520,2740,680,500,63723
1364,3490,6250,1800,930,120821
1366,620,1090,260,230,30233
1367,230,410,90,90,7052
1368,570,1080,280,180,23305
1370,2040,3440,740,800,68402
1373,2360,4020,980,840,104971
1375,1840,2850,580,460,76079
1376,2530,4200,1070,750,80847
1378,360,630,140,150,12139
1379,400,670,150,140,11855
1420,18530,33290,10960,3530,691308
1430,3070,5910,1780,810,167332
1431,1600,2950,850,430,81658
1432,4150,7260,1940,940,232323
1434,210,440,150,40,15988
1436,1450,2630,780,310,61265
1438,260,430,90,100,9012
1440,9430,16440,4600,2200,365147
1450,5220,10640,3570,1330,505267
1451,2490,5250,1710,840,292937
1452,2200,4130,1090,580,122781
1453,21390,37850,11290,4760,976761
1460,4820,9570,2950,1310,407427
1462,5670,10730,3110,1560,339224
1463,5800,10830,3120,1440,363251
1464,3100,5650,1590,830,177923
1467,110,190,50,50,9714
1468,2130,3990,1130,510,109158
1469,3650,6820,1950,930,206309
1473,4100,7670,2210,1120,228244
1474,1060,1850,480,290,59196
1475,4690,8680,2610,1000,200796
1501,8720,15670,4340,2470,463754
1503,1610,2890,740,500,113417
1504,4720,8390,2280,1010,252089
1505,2370,4410,1210,690,193304
1506,1620,3000,810,510,80263
1507,6320,12030,3590,1450,386311
1510,7670,12980,3560,1660,360030
1515,1120,2110,580,300,55184
1516,4500,8680,2660,920,283541
1518,1520,3060,1000,380,109586
1519,3520,7010,2230,820,340504
1520,7750,15470,4870,2160,547575
1521,1210,2190,570,320,64859
1522,1800,3360,990,460,113305
1523,3090,5950,1760,860,210769
1524,3390,6100,1700,850,171797
1525,230,390,90,70,8149
1527,7000,12300,3210,1790,371210
1529,1590,2990,940,300,88646
1531,490,920,230,140,24249
1532,7850,15290,4810,2050,670821
1534,3110,5990,1830,670,205611
1535,2280,4210,1170,560,102712
1536,3630,6960,2070,910,284928
1537,1230,2010,490,300,58091
1540,5710,10260,2890,1280,293281
1541,1790,3440,950,610,136178
1542,1160,2080,600,320,54600
1543,4170,8430,2800,900,268171
1545,17900,35830,11570,4290,1498761
1550,8270,14660,4770,1560,298618
1560,2200,4350,1400,380,159878
1561,340,600,130,150,14906
1562,5800,10130,2690,1450,262794
1564,4120,7740,2210,1180,291050
1566,3410,6400,1780,1010,225631
1568,3840,7600,2460,890,340100
1569,6910,12660,3510,1680,409210
1570,8750,15080,4240,2020,360316
1571,5460,10140,3070,1260,268491
1581,9750,19950,6540,2180,940851
1583,3770,6670,1730,1270,209010
1585,2100,3800,970,620,100829
1588,5020,9290,2870,1150,266683
1590,4560,8750,2630,1140,340429
1602,11320,19810,5720,2880,520840
1603,9480,17070,5850,1480,332074
1604,17990,30650,9460,3170,716533
1605,11970,21830,8040,1880,447074
1606,10610,17940,4970,2440,485652
