,population_density,median_household_income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year,population
0,72988,39406,41587,13046,35060,21538,671,2155,176,2062,7763,4257,4197,1530,1699,235,392,9147,24698,762,2431,413,212,3131,537,825,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,54633
1,41896,36692,46133,12513,18268,27351,672,601,25,19,7324,4718,1904,5924,550,317,762,3805,14830,3718,8991,577,257,4401,384,1124,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,58646
2,77129,52645,26672,9241,57583,30622,31,819,53,1788,5694,5740,3534,27,4037,274,850,25070,31713,858,9127,161,449,2505,483,2411,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,35913
3,70808,58277,26650,17226,23439,23087,184,2110,50,595,4176,2949,4558,6151,5006,136,748,20543,19561,4826,4510,826,325,4956,768,1279,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,43876
4,70645,38638,32502,13333,19731,33453,56,957,78,957,8694,7811,2068,3248,3431,551,926,23754,28040,3855,6829,750,278,3966,759,1814,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,45835
5,46325,64489,25043,15085,65185,30610,151,275,175,3974,4559,4559,3583,7533,644,310,365,24471,15644,1009,7582,387,431,5237,813,2485,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,40128
6,20616,37382,36250,14750,32522,8242,482,434,23,1390,3762,7192,2110,4374,4055,487,726,23718,25560,3541,6923,899,195,4729,240,799,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,51000
7,58365,44702,23462,15709,51644,31096,73,475,72,3976,6988,8381,2731,293,980,743,300,10678,10040,1089,7957,765,248,2032,210,1839,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,39171
8,56237,45838,43555,17143,48460,17192,310,894,169,3545,3640,7521,1664,7465,2390,609,87,6050,17466,4716,250,820,171,1863,429,1321,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,60698
9,82666,45957,51479,7315,40713,31700,556,1021,37,1991,3810,7091,1831,6867,2581,596,261,14853,21011,4168,8708,573,142,5267,201,2600,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,58794
