,population_density,median_household_income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,"< $25,000","$25,000-$44,999","$45,000-$59,999","$60,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000+",Less Than High School Diploma,High School Graduate,Associate's Degree,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,Enrolled In Public School,Enrolled In Private School,Not Enrolled In School,April,August,December,February,January,July,June,March,May,November,October,September,day1,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day2,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day3,day30,day31,day4,day5,day6,day7,day8,day9,year,population
1,147,56098,34599,33592,40048,1182,410,1258,87,22986,4555,4086,2512,6033,2405,811,359,11552,18442,3595,4158,1558,348,249,15119,1333,3795,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014,29450
2,130,30625,21145,20963,24717,15504,79,1115,16,165,7196,3368,1350,2589,1278,511,532,2910,7801,1527,4937,2728,559,1644,5052,1032,437,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,5640
3,8320,64093,13839,2954,8704,6649,36,310,4,907,651,367,410,634,444,212,317,2413,3778,446,1389,651,197,206,165,2,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2014,33140
6,9850,97158,17521,17772,28052,735,137,3552,65,1029,1932,1602,1331,3683,3210,2011,2640,757,7767,2064,9635,4532,1297,834,3505,1089,285,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,36050
7,808,39659,5383,5357,7556,2661,41,40,4,249,1493,900,457,754,374,152,139,1105,3913,819,1143,320,146,25,1387,143,284,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,27660
8,3153,77156,11025,12233,20392,1106,21,894,5,292,737,1498,1444,2218,1676,1032,825,581,4713,916,5775,2976,755,530,3265,928,378,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2017,710
9,5247,61188,18103,21951,1649,36302,134,302,12,829,2034,2791,2353,4252,2358,723,228,2446,16770,1405,2928,1203,111,41,6364,789,594,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,36670
10,1924,36598,13919,14692,23706,181,319,223,80,3248,3044,3056,1327,1974,599,49,48,3262,11202,1262,1445,425,12,109,5682,496,844,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,109280
11,9,58094,543,474,960,0,17,5,0,5,87,81,47,129,0,0,25,29,304,144,99,0,33,0,117,39,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,44160
12,842,50526,18443,20013,25811,9823,154,809,51,1014,4354,2858,1822,3320,1730,827,705,3123,13316,1572,4801,2326,320,255,6977,678,1133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,17630
13,3158,65420,45980,48402,52621,17581,679,4720,74,14609,4266,4716,3793,8553,4786,1137,710,8784,29347,4958,9186,2574,168,380,21573,1367,3103,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,710
14,9989,85672,19847,21509,12288,18719,218,4460,14,3985,1396,1455,1176,2934,2729,1115,1084,3728,13986,2813,5502,2488,326,346,7289,881,396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,9300
15,145,33056,10153,10824,13155,6736,42,51,7,715,3369,1849,1095,1234,509,145,71,2839,8073,1072,1512,560,137,0,3604,267,366,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,18030
17,1583,21397,461,492,633,247,10,2,0,22,331,70,57,74,37,0,0,134,395,65,137,38,0,0,201,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2014,9420
18,6213,70300,6387,4808,6784,3680,24,429,4,88,1156,747,496,1276,819,383,790,412,1567,282,3118,972,542,195,602,33,45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018,14730
19,3678,48234,10789,10181,11604,2028,278,932,99,4931,1680,1511,959,1453,666,158,128,2700,7297,1030,1395,589,227,164,4353,204,412,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,22460
20,28793,95556,5381,5729,7568,757,29,2255,5,180,984,596,611,1144,1562,659,812,106,1220,289,3199,1852,841,425,17,221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2017,10560
21,9062,68707,5614,4534,8585,483,75,512,10,191,1863,608,558,1484,915,650,792,233,1969,513,3678,1582,664,151,149,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2014,10850
22,64,36080,10303,10081,14909,366,754,2184,73,934,2413,1810,920,990,515,125,77,2633,7608,938,1142,301,112,22,3419,300,403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016,3510
23,461,30468,19082,20335,32848,2994,108,2068,26,339,6110,3066,974,2410,982,314,437,1163,5717,1047,4266,2208,786,883,2587,489,246,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2018,16880
24,28793,95556,5381,5729,7568,757,29,2255,5,180,984,596,611,1144,1562,659,812,106,1220,289,3199,1852,841,425,17,221,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,10700
25,7617,40380,7988,7496,12596,325,111,1520,42,214,2913,1346,679,1335,790,356,780,306,2401,539,3355,1869,964,467,485,305,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,3660
26,23,45640,3259,2255,4397,790,49,24,0,175,436,362,243,329,180,51,17,699,2117,461,281,138,24,1,459,70,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,21510
27,1950,29818,11820,12701,17297,4980,58,909,15,439,4446,2569,1181,1751,746,57,52,2623,8917,1581,2885,926,347,186,1832,560,278,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,680
28,9062,68707,5614,4534,8585,483,75,512,10,191,1863,608,558,1484,915,650,792,233,1969,513,3678,1582,664,151,149,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,8850
29,1077,88295,1744,1938,3411,100,5,109,0,14,122,268,134,482,412,126,253,73,1260,266,876,528,267,86,410,73,39,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2015,25480
30,4525,42337,11736,13143,13454,9466,91,415,22,854,3200,2826,1405,2061,837,298,425,2424,8222,1156,3623,1246,654,292,2284,506,270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,11240
31,1159,20227,618,439,589,434,6,9,1,2,244,48,79,66,10,0,21,99,270,21,108,64,10,3,11,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,17890
32,4654,56388,7515,4665,6815,4239,26,871,0,80,1599,982,693,1327,784,424,494,895,2384,247,3278,1332,967,540,280,243,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,34980
35,7758,36614,14888,14703,10918,292,273,7491,46,9630,2709,2102,1096,1469,563,145,97,8222,8146,799,1940,348,34,29,5488,169,545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,24640
36,7617,40380,7988,7496,12596,325,111,1520,42,214,2913,1346,679,1335,790,356,780,306,2401,539,3355,1869,964,467,485,305,44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,22380
37,11499,47231,12415,10971,19624,1735,94,1158,15,265,4650,2559,1839,3259,1253,624,789,809,4747,737,6922,2862,1142,492,297,174,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2018,28300
38,158,38883,20264,22215,29261,11142,141,396,39,520,5667,4118,2111,2997,1450,316,349,4525,16567,2239,2866,1448,450,106,6400,1289,976,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,11630
39,7004,54392,1734,403,1245,825,3,25,1,16,156,92,125,192,47,48,6,282,576,57,462,131,18,50,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2150
40,3403,37600,12335,11641,19156,470,912,891,147,1049,3490,2165,1142,2136,758,82,54,1886,8902,1443,2960,941,159,167,2848,377,285,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,4360
41,171,68939,17417,11114,14533,6869,149,1402,13,4818,1219,689,929,1860,1205,491,305,5084,9714,1583,2598,595,193,215,5350,572,974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,6130
42,330,38959,12224,12948,23473,725,50,170,4,111,3340,2661,1407,2201,717,148,111,2822,10773,1589,1223,593,111,33,3824,574,728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,18290
43,2992,44174,15013,15475,21716,2711,364,176,59,4725,3048,2688,1211,2434,1334,298,268,5666,10224,932,1394,485,91,145,6272,387,1067,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1440
44,3934,27394,8330,7956,2550,12618,63,183,1,507,2782,1343,646,869,274,135,82,2425,5546,425,906,455,171,101,2241,206,276,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014,21410
45,4191,20457,1840,1815,1315,1956,18,236,0,58,976,156,111,169,168,66,73,444,812,48,399,229,149,134,514,19,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,3650
46,1941,14504,4520,4118,3418,4847,33,47,3,93,2200,510,177,300,91,48,10,1570,2513,194,535,191,66,27,1144,145,236,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,790
47,29,33967,3854,3746,6194,1120,34,29,1,56,904,572,392,359,210,46,13,905,3500,461,324,77,6,5,1107,43,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018,35390
48,260,29717,11028,12564,15721,5723,365,160,5,815,3867,2499,990,1525,422,67,54,3208,8772,862,1201,590,92,35,3910,104,421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2014,17420
49,4,44519,1098,1112,1799,9,316,5,8,26,189,163,136,168,32,11,0,157,786,92,66,105,0,0,588,38,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,18520
