SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
040,01,000,00000,00000,00000,0,A,Alabama,Alabama,4779736,4780135,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747
162,01,000,00124,00000,00000,0,A,Abbeville city,Alabama,2688,2688,2684,2677,2629,2612,2595,2587,2575,2567
162,01,000,00460,00000,00000,0,A,Adamsville city,Alabama,4522,4522,4516,4502,4479,4457,4437,4409,4376,4347
162,01,000,00484,00000,00000,0,A,Addison town,Alabama,758,754,751,751,744,743,740,734,734,728
162,01,000,00676,00000,00000,0,A,Akron town,Alabama,356,356,355,345,345,341,337,335,332,332
162,01,000,00820,00000,00000,0,A,Alabaster city,Alabama,30352,31084,31182,31341,31641,31922,32126,32715,32936,33202
162,01,000,00988,00000,00000,0,A,Albertville city,Alabama,21160,21127,21143,21308,21341,21325,21264,21305,21349,21392
162,01,000,01132,00000,00000,0,A,Alexander City city,Alabama,14875,14984,14930,14889,14762,14836,14787,14660,14619,14595
162,01,000,01228,00000,00000,0,A,Aliceville city,Alabama,2486,2481,2480,2426,2418,2392,2368,2359,2344,2335
162,01,000,01396,00000,00000,0,A,Allgood town,Alabama,622,622,622,623,622,622,623,622,622,624
162,01,000,01660,00000,00000,0,A,Altoona town,Alabama,933,937,937,935,933,929,925,921,918,917
162,01,000,01708,00000,00000,0,A,Andalusia city,Alabama,9015,9015,9026,9071,9008,9003,8995,8935,8880,8787
162,01,000,01756,00000,00000,0,A,Anderson town,Alabama,282,282,282,281,280,278,278,277,275,276
162,01,000,01852,00000,00000,0,A,Anniston city,Alabama,23106,23112,23057,22849,22644,22457,22280,22107,21926,21770
162,01,000,02116,00000,00000,0,A,Arab city,Alabama,8050,8091,8100,8175,8208,8215,8200,8221,8253,8284
162,01,000,02260,00000,00000,0,A,Ardmore town,Alabama,1194,1194,1203,1245,1272,1299,1333,1348,1373,1398
162,01,000,02320,00000,00000,0,A,Argo town,Alabama,4071,4071,4079,4097,4122,4174,4173,4199,4241,4268
162,01,000,02428,00000,00000,0,A,Ariton town,Alabama,764,762,763,754,757,747,741,742,739,739
162,01,000,02500,00000,00000,0,A,Arley town,Alabama,357,359,358,357,356,355,354,350,350,346
162,01,000,02836,00000,00000,0,A,Ashford town,Alabama,2148,2135,2137,2148,2161,2151,2154,2149,2145,2144
162,01,000,02860,00000,00000,0,A,Ashland town,Alabama,2037,2037,2032,2002,1962,1955,1957,1950,1944,1932
162,01,000,02908,00000,00000,0,A,Ashville city,Alabama,2212,2212,2217,2217,2226,2248,2244,2248,2271,2291
162,01,000,02956,00000,00000,0,A,Athens city,Alabama,21897,21902,22016,22762,23362,23800,24344,24771,25158,25616
162,01,000,03004,00000,00000,0,A,Atmore city,Alabama,10194,10194,10198,10153,10109,9993,10029,9995,9908,9890
162,01,000,03028,00000,00000,0,A,Attalla city,Alabama,6048,6049,6044,6019,5994,5955,5907,5863,5839,5827
162,01,000,03076,00000,00000,0,A,Auburn city,Alabama,53380,53404,53753,54912,57029,58662,60236,61657,62703,63973
162,01,000,03220,00000,00000,0,A,Autaugaville town,Alabama,870,878,880,882,875,856,857,853,855,855
162,01,000,03364,00000,00000,0,A,Avon town,Alabama,543,521,522,523,525,521,520,517,514,514
